자치구,대여소명,기준년월,대여건수,반납건수
강남구,2301. 현대고등학교 건너편,202207," 2,170 "," 2,183 "
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202207," 1,140 "," 1,143 "
강남구,2303. 논현역 10번출구,202207," 1,329 "," 1,196 "
강남구,2304. 대현그린타워,202207, 288 , 104 
강남구,2305. MCM 본사 직영점 앞,202207, 334 , 342 
강남구,2306. 압구정역 2번 출구 옆,202207," 2,084 "," 2,031 "
강남구,2307. 압구정 한양 3차 아파트,202207, 463 , 438 
강남구,2308. 압구정파출소 앞,202207," 1,158 "," 1,162 "
강남구,2309. 청담역(우리들병원 앞),202207, 530 , 261 
강남구,2310. 청담동 맥도날드 옆(위치),202207, 544 , 573 
강남구,2311. 학동로 래미안 아파트 앞,202207, 308 , 156 
강남구,2312. 청담역 13번 출구 앞,202207, 714 , 593 
강남구,2313. 금원빌딩 앞,202207, 788 , 859 
강남구,2314. 청담나들목입구,202207, 638 , 639 
강남구,2315. 봉은사역 5번출구 옆,202207, 937 , 932 
강남구,2317. 삼성도로공원,202207, 778 , 794 
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202207, 531 , 271 
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202207, 779 , 779 
강남구,2320. 도곡역 대치지구대 방향,202207, 836 , 860 
강남구,2321. 학여울역 사거리,202207, 736 , 723 
강남구,2323. 주식회사 오뚜기 정문 앞,202207, 683 , 637 
강남구,2324. 천주교 대치 2동 교회 옆,202207," 1,498 "," 1,505 "
강남구,2325. 대치삼성아파트 앞 교차로,202207," 1,040 ", 978 
강남구,2326. 대치동 삼성로,202207, 515 , 347 
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202207," 1,366 "," 1,365 "
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202207, 781 , 677 
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202207, 484 , 419 
강남구,2330. 역삼월드메르디앙아파트 앞,202207, 698 , 681 
강남구,2331. 동영문화센터앞,202207, 541 , 477 
강남구,2332. 선릉역3번출구,202207," 1,618 "," 1,619 "
강남구,2333. 양재역 3번출구 주변,202207," 1,492 ", 769 
강남구,2334. 삼호아파트 2동 ( 간선도로),202207, 240 , 212 
강남구,2335. 3호선 매봉역 3번출구앞,202207," 2,321 "," 2,371 "
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,202207, 527 , 466 
강남구,2337. 대모산입구역 2번출구 앞,202207, 500 , 453 
강남구,2339. 현대아파트 정문 앞,202207, 620 , 611 
강남구,2340. 삼호물산버스정류장(23370) 옆,202207," 2,412 "," 2,571 "
강남구,2341. 일원역 4~5번 출구 사이,202207, 722 , 319 
강남구,2342. 대청역 1번출구  뒤,202207," 1,611 "," 1,693 "
강남구,2343. 세곡사거리 대왕파출소 앞,202207, 156 , 161 
강남구,2344. 리엔파크 2단지 앞,202207, 668 , 672 
강남구,2347. 두산건설 본사,202207, 178 , 79 
강남구,2348. 포스코사거리(기업은행),202207," 2,176 "," 2,258 "
강남구,2349. 역삼빌딩 앞(하나은행 옆),202207, 312 , 257 
강남구,2350. 래미안그레이튼102동앞,202207, 302 , 306 
강남구,2351. 청소년수련관(수영장)앞,202207, 393 , 329 
강남구,2352. 서울본부세관(건설회관 앞),202207, 198 , 125 
강남구,2353. 강남구청역 2번출구 뒤,202207, 447 , 433 
강남구,2354. 청담역 2번출구,202207, 304 , 304 
강남구,2356. 강남구청,202207, 739 , 391 
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202207, 412 , 341 
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202207, 584 , 538 
강남구,"2359. 국립국악중,고교 정문 맞은편",202207, 952 , 962 
강남구,2360. 도곡1동 주민센터 교차로,202207, 695 , 681 
강남구,2362. 신사동 가로수길 입구,202207, 959 , 914 
강남구,2363. 강남 을지병원 교차로,202207, 312 , 294 
강남구,2364. 도산공원교차로,202207, 615 , 598 
강남구,2365. K+ 타워 앞,202207, 851 , 883 
강남구,2368. 도곡동 경남아파트 건너편,202207, 339 , 316 
강남구,2369. KT선릉타워,202207," 1,212 "," 1,192 "
강남구,2370. 한티역 3번출구,202207, 570 , 354 
강남구,2371. 한국우편사업진흥원,202207, 248 , 115 
강남구,2372. 대치역 사거리,202207," 1,082 "," 1,118 "
강남구,2373. 개포동역 사거리,202207, 659 , 651 
강남구,2375. 수서역 1번출구 앞,202207," 1,034 "," 1,168 "
강남구,2376. 수서역 6번출구 앞,202207, 351 , 414 
강남구,2377. 수서역 5번출구,202207," 3,072 "," 3,304 "
강남구,2380. 삼성동베이직하우스앞,202207, 470 , 359 
강남구,2381. 언주역 6번출구앞,202207, 478 , 481 
강남구,2382. 역삼동 sk뷰 501동앞,202207, 452 , 452 
강남구,2383. 보금자리정원,202207, 364 , 413 
강남구,2384. 자곡사거리,202207," 1,602 "," 1,761 "
강남구,2385. 학동역,202207, 655 , 595 
강남구,2386. 크린랩 본사,202207, 224 , 176 
강남구,2387. 래미안강남힐즈 사거리,202207, 931 , 937 
강남구,2388. 강남구 도시관리공단,202207, 631 , 254 
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202207, 709 , 711 
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202207, 339 , 322 
강남구,2391. 구룡터널 입구(개포1단지아파트),202207, 1 , 2 
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202207, 145 , 82 
강남구,2393. 구룡사 앞 교차로 (보도육교),202207, 109 , 102 
강남구,2394. 개포래미안포레스트아파트 107동 앞,202207, 759 , 694 
강남구,2395. 개포1단지아파트 입구 (보도육교),202207, 173 , 94 
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202207, 595 , 588 
강남구,2398. 더라움,202207, 212 , 211 
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202207, 291 , 211 
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202207, 222 , 221 
강남구,2404. 대모산입구역 4번 출구 앞,202207," 1,619 "," 1,672 "
강남구,2405. 청담공원앞 교차로,202207," 1,085 ", 358 
강남구,2406. 논현동 광명빌딩 앞,202207, 490 , 297 
강남구,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),202207," 1,616 "," 1,599 "
강남구,2408. 강남한양수자인아파트,202207," 1,089 "," 1,047 "
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202207, 919 , 917 
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),202207, 667 , 574 
강남구,2411. 세곡동 성당,202207, 957 ," 1,008 "
강남구,2412. 일원1동 주민센터,202207," 1,238 "," 1,331 "
강남구,2413.도곡역 1번 출구,202207," 1,086 "," 1,068 "
